befa6c5 was Ben NG Hok Chun, 7 days ago, message: Fix shipment fee calculator |
57cad1c was Ben NG Hok Chun, 13 days ago, message: Do not require unique email |
9f18a36 was Ken, 13 days ago, message: Change Shipping Account Information: Dropdown list for ProvinceCode and Credit Card Type |
0d25362 was Ben NG Hok Chun, 13 days ago, message: Bugfix for issue #10 |
4c1645f was Ben NG Hok Chun, 13 days ago, message: Added constrain to username |
de150a1 was Ken, 13 days ago, message: Fix Bug: Change Shipping Account Information (Business) |
bffdb12 was Ken, 2 weeks ago, message: Fix Bug: Change Shipping Account Information (Personal) |
cbb4288 was Ben NG Hok Chun, 2 weeks ago, message: Base of Shipmment Edit(No link yet) |
1242cb8 was Ben NG Hok Chun, 2 weeks ago, message: Added Pickup controller and view |
4a3babe was Ben NG Hok Chun, 2 weeks ago, message: Create Shipment without pickup arangement |
66330f7 was Ben NG Hok Chun, 2 weeks ago, message: Handle Shipment Packages with Session |
96484c4 was Ben NG Hok Chun, 2 weeks ago, message: Partial finish on Shipment creation |
3fc6e6a was Ben NG Hok Chun, 2 weeks ago, message: Added Package controller and views, changed name of Package in fee enquiry to DummmyPackage |
8aca225 was Ben NG Hok Chun, 2 weeks ago, message: Address managing in Shipment creation |
36ed9b4 was Ben NG Hok Chun, 2 weeks ago, message: Added Address controller and view |
3a08f25 was Ben NG Hok Chun, 3 weeks ago, message: Merge pull request #2 from hcngac/feature_arrange-package-shipping |
f50f129 was Ben NG Hok Chun, 3 weeks ago, message: Added pickup to shipment model |
4e1c9c6 was Ben NG Hok Chun, 3 weeks ago, message: Added taxes and duties to shipment model |
4c4e2e9 was Ben NG Hok Chun, 3 weeks ago, message: Basics of create shipmment |
be9e95d was Ben NG Hok Chun, 3 weeks ago, message: Added address model and modified shipment model |
3da07d4 was Ben NG Hok Chun, 3 weeks ago, message: Add Pickup model |
b09ce41 was Ben NG Hok Chun, 3 weeks ago, message: Refine Shipment Model |
9a07cb4 was Ben NG Hok Chun, 3 weeks ago, message: Added Package Model. Modified Shipment model to cope withh Package model. |
92c0eca was Ben NG Hok Chun, 3 weeks ago, message: Reopen create shipment |
4c276dc was Ben NG Hok Chun, 3 weeks ago, message: Caching for ShippingAccount |
0a0c0ca was Ken, 3 weeks ago, message: Shipment Tracking Feature |
5a2b364 was Ben NG Hok Chun, 5 weeks ago, message: Caching |
58d220b was Ben NG Hok Chun, 5 weeks ago, message: Caching of Currency, PackageType and ServiceType |
8de7510 was hcngac, 5 weeks ago, message: Remake Test Project |
bc793b9 was hcngac, 5 weeks ago, message: Added Test Case for BaseController CurrencyExchange |
818cb1f was hcngac, 5 weeks ago, message: Add BaseController Contains CurrencyExchange method |
5f3aaf9 was Ben NG Hok Chun, 6 weeks ago, message: Merge pull request #1 from hcngac/Feature--ArrangePackageShipping |
a33cc2e was Ben NG Hok Chun, 6 weeks ago, message: Remove Problematic Code |
f977ba3 was Ben NG Hok Chun, 8 weeks ago, message: Activity 1 Inject Data |
6e60729 was Ben NG Hok Chun, 8 weeks ago, message: Activity 1 Refined |
8ec17dd was Ben NG Hok Chun, 8 weeks ago, message: Activity 1 Done |
193f549 was Ben NG Hok Chun, 8 weeks ago, message: Last Commit |
4ab819d was Ben NG Hok Chun, 8 weeks ago, message: Activity 1 Half Finish Finished Items: 2, 3, 8a |
54a725f was hcngac, 9 weeks ago, message: Lab 6 Inclass |
a12ed0b was hcngac, 9 weeks ago, message: Lab 5 Homework |
2b375f7 was hcngac, 2 months ago, message: Lab 5 inclass |
ba4d82f was Ben NG Hok Chun, 2 months ago, message: Lab 4 Added Shipment history date range search (lab 4 finished) |
156a6af was Ben NG Hok Chun, 3 months ago, message: Lab 4 Add Create Business Account |
0296d2a was Ben NG Hok Chun, 3 months ago, message: Lab 4 Homework (not finished) |
c2f445e was hcngac, 3 months ago, message: Lab 4 Inclass Finished |
7ce3fd0 was hcngac, 3 months ago, message: Lab 3 Homework & Some Lab 4 Inclass |
3bf176f was hcngac, 3 months ago, message: Merge |
57a3d48 was Ben NG Hok Chun, 3 months ago, message: Lab 3 Homework (Not Finished) |
c7881b5 was Ben NG Hok Chun, 3 months ago, message: Lab 3 Homework (not finished) |
6c1e835 was Ben NG Hok Chun, 3 months ago, message: Lab 3 inclass |
200198b was hcngac, 3 months ago, message: Lab 3 inclass |
5e6ebde was Ben NG Hok Chun, 3 months ago, message: Lab 2 Homework |
bb3ca21 was Ben NG Hok Chun, 3 months ago, message: Lab 2 Homework (not finished yet) |
2458174 was Ben NG Hok Chun, 3 months ago, message: lab2 in class |
834c00b was Ben NG Hok Chun, 3 months ago, message: lab 1 |
12eadce was Ben NG Hok Chun, 3 months ago, message: Add project files. |
9c50ce8 was Ben NG Hok Chun, 3 months ago, message: Add .gitignore and .gitattributes. |
